Tip100	OpenChrVG	tpm	type	Arid3a	MEIS1	NFIX	SOX9	SOX10	NFATC1	ATF4	Ddit3Cebpa	ZBTB26	JUN	TBX3	Dlx4	TFAP4
SVSP_Cv1-hAT-Tip100_23	TRUE	11553.1	promoter	7	1	1	2	2	2	1	3	1	1	2	3	1
SVSP_Cv1-hAT-Tip100_24	TRUE	312.141	promoter	7	1	1	2	1	3	0	2	1	0	2	1	1
SVSP_Cv1-hAT-Tip100_25	TRUE	312.141	enhancer	7	1	1	2	1	3	1	3	2	1	2	3	1
SVSP_Cv1-hAT-Tip100_26	TRUE	NA	NA	6	1	1	1	1	1	0	0	2	0	0	1	1
SVSP_Cv1-hAT-Tip100_27	TRUE	NA	NA	6	1	0	0	1	1	0	0	0	0	1	1	1
SVSP_Cv1-hAT-Tip100_28	TRUE	1900.54	enhancer	7	1	0	2	1	4	1	3	2	1	1	2	1
SVSP_Cv1-hAT-Tip100_29	TRUE	NA	NA	2	0	0	1	0	1	0	0	2	0	1	1	1
SVSP_Cv1-hAT-Tip100_30	TRUE	NA	NA	7	1	1	2	2	3	1	3	2	1	2	3	1
SVSP_Cv1-hAT-Tip100_31	TRUE	NA	NA	6	1	1	1	1	4	0	2	2	1	2	2	1
SVSP_Cv1-hAT-Tip100_32	TRUE	NA	NA	5	1	0	1	1	1	0	0	2	0	1	0	1
SVSP_Cv1-hAT-Tip100_33	FALSE	11568.3	promoter	6	0	1	1	1	2	1	2	2	1	2	3	1
SVSP_Cv1-hAT-Tip100_34	TRUE	NA	NA	7	1	1	0	0	2	1	2	2	1	2	2	1
SVSP_Cv1-hAT-Tip100_35	TRUE	NA	NA	6	1	1	2	2	4	0	3	2	0	2	3	1
SVSP_Cv1-hAT-Tip100_36	TRUE	NA	NA	1	1	1	0	0	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_37	TRUE	1999.82	promoter	7	1	1	1	0	3	1	2	2	0	2	2	1
NonVen_Cv1-hAT-Tip100_378	FALSE	NA	NA	6	1	0	2	2	3	0	1	2	0	2	3	1
NonVen_Cv1-hAT-Tip100_357	FALSE	NA	NA	2	1	0	0	0	1	0	0	0	0	0	1	0
NonVen_Cv1-hAT-Tip100_298	FALSE	NA	NA	2	0	0	0	0	0	0	0	0	0	1	0	0
NonVen_Cv1-hAT-Tip100_299	TRUE	NA	NA	1	0	0	0	0	0	0	0	0	0	1	0	0
NonVen_Cv1-hAT-Tip100_320	FALSE	NA	NA	5	1	1	0	1	2	0	1	0	0	0	1	0
NonVen_Cv1-hAT-Tip100_383	FALSE	NA	NA	4	1	0	1	1	2	1	1	0	1	0	2	0
NonVen_Cv1-hAT-Tip100_300	FALSE	NA	NA	3	0	1	0	0	1	0	1	0	0	0	1	0
NonVen_Cv1-hAT-Tip100_375	FALSE	NA	NA	4	1	1	1	1	1	1	2	0	1	1	1	0
NonVen_Cv1-hAT-Tip100_7	FALSE	NA	NA	5	1	1	2	1	3	1	1	2	1	1	2	1
NonVen_Cv1-hAT-Tip100_8	FALSE	NA	NA	1	1	1	0	0	0	1	1	0	1	0	2	0
NonVen_Cv1-hAT-Tip100_379	FALSE	NA	NA	2	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_384	FALSE	NA	NA	6	1	1	1	1	4	1	3	2	1	1	3	1
NonVen_Cv1-hAT-Tip100_301	FALSE	NA	NA	4	0	0	2	0	4	0	1	2	0	1	2	0
NonVen_Cv1-hAT-Tip100_9	FALSE	NA	NA	5	1	1	2	1	4	1	3	2	1	2	3	1
NonVen_Cv1-hAT-Tip100_302	FALSE	NA	NA	3	0	0	1	0	1	0	0	2	0	0	0	0
NonVen_Cv1-hAT-Tip100_303	FALSE	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_385	FALSE	NA	NA	3	0	0	1	0	1	0	0	2	0	1	0	0
NonVen_Cv1-hAT-Tip100_321	FALSE	NA	NA	3	1	1	1	0	2	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_322	FALSE	NA	NA	3	1	1	1	1	1	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_194	TRUE	NA	NA	3	0	0	0	0	1	0	0	0	0	1	0	0
NonVen_Cv1-hAT-Tip100_50	FALSE	NA	NA	6	1	1	2	1	3	1	1	2	1	1	2	1
NonVen_Cv1-hAT-Tip100_51	FALSE	NA	NA	6	1	1	2	1	3	1	1	2	1	1	2	1
NonVen_Cv1-hAT-Tip100_323	TRUE	NA	NA	2	0	1	1	2	2	1	2	1	1	2	2	0
NonVen_Cv1-hAT-Tip100_245	FALSE	NA	NA	3	0	0	1	0	1	0	0	2	0	0	0	1
NonVen_Cv1-hAT-Tip100_118	FALSE	NA	NA	7	0	1	2	2	4	1	3	1	1	1	3	1
NonVen_Cv1-hAT-Tip100_358	FALSE	NA	NA	0	0	0	1	1	2	0	1	0	0	1	0	0
NonVen_Cv1-hAT-Tip100_359	FALSE	NA	NA	4	0	0	1	0	1	0	0	2	0	0	0	0
NonVen_Cv1-hAT-Tip100_324	FALSE	NA	NA	4	0	0	0	0	1	0	0	0	0	1	0	0
NonVen_Cv1-hAT-Tip100_10	FALSE	NA	NA	6	1	1	1	0	1	0	0	2	0	1	1	1
NonVen_Cv1-hAT-Tip100_11	FALSE	NA	NA	6	1	1	1	1	2	1	1	1	1	1	2	1
NonVen_Cv1-hAT-Tip100_12	FALSE	NA	NA	0	0	0	1	1	1	0	1	0	0	1	0	0
NonVen_Cv1-hAT-Tip100_325	FALSE	NA	NA	3	1	1	0	1	2	0	0	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_326	FALSE	NA	NA	3	0	0	1	1	1	0	2	0	0	1	2	0
NonVen_Cv1-hAT-Tip100_119	FALSE	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_120	FALSE	NA	NA	7	1	1	1	2	3	1	3	2	1	1	3	1
NonVen_Cv1-hAT-Tip100_121	FALSE	NA	NA	3	1	1	1	1	2	0	2	0	0	0	1	0
NonVen_Cv1-hAT-Tip100_122	FALSE	NA	NA	1	0	0	0	0	0	0	0	0	0	1	0	0
NonVen_Cv1-hAT-Tip100_327	FALSE	NA	NA	6	1	1	2	0	3	0	1	2	0	1	3	1
NonVen_Cv1-hAT-Tip100_246	FALSE	NA	NA	5	0	1	1	0	2	0	0	1	0	0	0	1
NonVen_Cv1-hAT-Tip100_247	FALSE	NA	NA	3	1	1	0	1	0	0	0	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_248	FALSE	NA	NA	7	1	1	2	2	4	1	2	2	1	2	3	0
NonVen_Cv1-hAT-Tip100_376	TRUE	NA	NA	4	1	1	0	0	2	0	0	0	0	0	1	0
NonVen_Cv1-hAT-Tip100_328	FALSE	NA	NA	4	1	0	2	1	3	1	1	2	1	1	2	0
NonVen_Cv1-hAT-Tip100_329	FALSE	NA	NA	5	1	1	1	0	1	1	1	2	1	1	1	1
NonVen_Cv1-hAT-Tip100_330	FALSE	NA	NA	4	1	1	0	1	0	0	0	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_331	FALSE	NA	NA	4	1	1	1	1	1	0	0	0	0	0	1	0
NonVen_Cv1-hAT-Tip100_360	FALSE	NA	NA	6	1	1	1	2	4	1	2	1	1	2	3	0
NonVen_Cv1-hAT-Tip100_332	FALSE	NA	NA	6	1	1	2	2	1	1	1	1	1	1	3	1
NonVen_Cv1-hAT-Tip100_333	FALSE	NA	NA	3	0	0	1	0	1	0	0	2	0	0	0	1
NonVen_Cv1-hAT-Tip100_334	FALSE	NA	NA	7	0	1	2	2	4	0	3	2	0	2	2	0
NonVen_Cv1-hAT-Tip100_335	FALSE	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_123	FALSE	NA	NA	5	1	0	0	1	4	1	3	2	1	2	1	1
NonVen_Cv1-hAT-Tip100_195	FALSE	NA	NA	6	1	1	1	1	2	1	2	2	1	2	2	1
NonVen_Cv1-hAT-Tip100_304	FALSE	NA	NA	3	1	1	1	1	1	1	2	0	1	1	1	0
NonVen_Cv1-hAT-Tip100_249	FALSE	NA	NA	1	0	0	0	0	2	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_305	FALSE	NA	NA	3	0	1	1	0	2	1	1	0	1	1	1	0
NonVen_Cv1-hAT-Tip100_361	FALSE	NA	NA	2	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_124	FALSE	NA	NA	6	1	1	1	0	2	0	0	0	0	1	2	0
NonVen_Cv1-hAT-Tip100_336	FALSE	NA	NA	7	1	1	2	2	3	1	3	2	1	2	2	1
NonVen_Cv1-hAT-Tip100_306	FALSE	NA	NA	1	0	0	0	0	0	0	0	1	0	1	0	0
NonVen_Cv1-hAT-Tip100_250	FALSE	NA	NA	2	0	0	0	0	0	0	1	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_251	FALSE	NA	NA	7	1	1	1	2	3	0	3	1	0	2	3	0
NonVen_Cv1-hAT-Tip100_307	FALSE	NA	NA	4	1	1	1	1	1	0	0	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_337	FALSE	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_13	FALSE	NA	NA	6	1	1	1	2	4	1	3	2	1	2	3	1
NonVen_Cv1-hAT-Tip100_338	FALSE	NA	NA	5	1	0	1	2	3	1	2	2	1	2	2	0
NonVen_Cv1-hAT-Tip100_339	FALSE	NA	NA	3	0	1	1	1	1	0	0	2	0	0	0	1
NonVen_Cv1-hAT-Tip100_340	FALSE	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_252	FALSE	NA	NA	5	1	1	0	0	2	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_341	FALSE	NA	NA	4	1	0	1	1	2	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_342	FALSE	NA	NA	5	1	1	2	1	3	1	2	2	1	2	2	1
NonVen_Cv1-hAT-Tip100_125	FALSE	NA	NA	4	0	1	0	1	0	0	1	0	0	1	2	0
NonVen_Cv1-hAT-Tip100_126	FALSE	NA	NA	5	1	1	1	0	2	0	1	0	0	1	0	0
NonVen_Cv1-hAT-Tip100_343	FALSE	NA	NA	5	1	0	0	0	1	0	0	0	0	1	2	0
NonVen_Cv1-hAT-Tip100_344	FALSE	NA	NA	7	1	1	2	2	3	1	3	1	1	2	3	1
NonVen_Cv1-hAT-Tip100_253	FALSE	NA	NA	6	1	1	2	2	4	1	2	2	1	1	3	1
NonVen_Cv1-hAT-Tip100_254	FALSE	NA	NA	6	1	1	1	1	3	1	2	1	1	2	3	1
NonVen_Cv1-hAT-Tip100_362	FALSE	NA	NA	7	1	0	2	1	3	1	3	1	1	2	3	1
NonVen_Cv1-hAT-Tip100_14	FALSE	NA	NA	6	1	1	2	1	3	1	1	1	1	2	1	0
NonVen_Cv1-hAT-Tip100_127	FALSE	NA	NA	1	0	0	0	0	2	0	1	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_128	FALSE	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_196	FALSE	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_345	FALSE	NA	NA	2	1	1	0	1	0	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_363	FALSE	NA	NA	7	1	1	1	2	3	1	2	2	1	1	2	0
NonVen_Cv1-hAT-Tip100_308	FALSE	NA	NA	5	1	0	1	0	1	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_255	FALSE	NA	NA	6	1	1	2	1	3	1	3	2	1	1	2	1
NonVen_Cv1-hAT-Tip100_256	FALSE	NA	NA	6	1	1	2	1	3	0	1	2	0	2	1	1
NonVen_Cv1-hAT-Tip100_52	FALSE	NA	NA	4	1	1	0	0	2	0	2	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_346	FALSE	NA	NA	7	1	1	2	2	4	1	3	1	1	2	3	1
NonVen_Cv1-hAT-Tip100_309	FALSE	NA	NA	5	1	1	1	1	1	1	0	2	0	1	0	0
NonVen_Cv1-hAT-Tip100_257	FALSE	NA	NA	3	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_258	FALSE	NA	NA	6	1	1	1	1	3	1	2	2	1	1	1	1
NonVen_Cv1-hAT-Tip100_259	FALSE	NA	NA	5	1	1	1	1	3	0	0	2	0	1	1	1
NonVen_Cv1-hAT-Tip100_260	FALSE	NA	NA	4	0	0	0	0	0	0	0	0	0	0	1	0
NonVen_Cv1-hAT-Tip100_347	FALSE	NA	NA	7	0	1	1	2	3	1	3	1	1	2	3	1
NonVen_Cv1-hAT-Tip100_261	FALSE	NA	NA	5	1	1	2	1	3	0	1	2	0	1	3	1
NonVen_Cv1-hAT-Tip100_15	FALSE	NA	NA	6	1	0	1	1	2	1	0	2	1	1	2	0
NonVen_Cv1-hAT-Tip100_129	FALSE	NA	NA	5	0	0	1	0	2	0	2	2	0	2	2	1
NonVen_Cv1-hAT-Tip100_262	FALSE	NA	NA	6	1	1	1	1	4	1	2	0	1	1	3	1
NonVen_Cv1-hAT-Tip100_263	TRUE	NA	NA	7	1	1	2	2	3	1	3	2	1	2	2	1
NonVen_Cv1-hAT-Tip100_264	FALSE	NA	NA	7	0	1	1	2	3	1	3	2	1	1	3	1
NonVen_Cv1-hAT-Tip100_265	FALSE	NA	NA	7	1	1	2	1	4	1	3	2	1	1	3	1
NonVen_Cv1-hAT-Tip100_266	FALSE	NA	NA	6	0	1	2	1	2	1	2	2	1	1	3	0
NonVen_Cv1-hAT-Tip100_267	FALSE	NA	NA	3	0	0	1	0	0	0	0	0	0	1	1	1
NonVen_Cv1-hAT-Tip100_53	FALSE	NA	NA	5	1	1	2	1	3	0	0	2	1	2	1	1
NonVen_Cv1-hAT-Tip100_130	FALSE	NA	NA	3	1	1	1	0	1	0	0	0	0	1	0	0
NonVen_Cv1-hAT-Tip100_197	FALSE	NA	NA	5	1	1	2	2	3	0	1	1	0	2	3	1
NonVen_Cv1-hAT-Tip100_268	FALSE	NA	NA	6	1	1	2	1	4	1	2	2	1	2	3	1
NonVen_Cv1-hAT-Tip100_198	FALSE	NA	NA	6	1	1	2	1	3	1	2	1	1	2	3	1
NonVen_Cv1-hAT-Tip100_269	FALSE	NA	NA	3	1	1	0	1	1	0	0	0	0	2	1	0
NonVen_Cv1-hAT-Tip100_270	FALSE	NA	NA	7	0	1	1	2	3	0	3	2	0	2	3	1
NonVen_Cv1-hAT-Tip100_199	FALSE	NA	NA	4	0	1	2	0	3	1	1	2	1	0	1	1
NonVen_Cv1-hAT-Tip100_364	FALSE	NA	NA	5	0	1	2	1	2	0	1	2	1	2	1	0
NonVen_Cv1-hAT-Tip100_131	FALSE	NA	NA	3	1	1	1	0	1	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_271	FALSE	NA	NA	3	1	1	0	0	0	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_272	FALSE	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_273	FALSE	NA	NA	4	1	0	0	1	1	0	0	0	0	2	1	0
NonVen_Cv1-hAT-Tip100_310	FALSE	NA	NA	7	1	1	1	2	4	1	3	2	1	2	3	1
NonVen_Cv1-hAT-Tip100_200	FALSE	NA	NA	2	0	0	0	0	0	0	1	0	0	1	0	0
NonVen_Cv1-hAT-Tip100_274	FALSE	NA	NA	6	1	1	2	1	3	1	1	2	1	1	2	1
NonVen_Cv1-hAT-Tip100_275	FALSE	NA	NA	6	1	0	1	1	2	0	2	1	0	1	2	0
NonVen_Cv1-hAT-Tip100_276	FALSE	NA	NA	3	0	1	0	1	2	0	1	0	0	0	1	0
NonVen_Cv1-hAT-Tip100_278	FALSE	NA	NA	1	0	0	1	0	2	0	0	0	0	1	0	0
NonVen_Cv1-hAT-Tip100_279	FALSE	NA	NA	3	1	1	0	0	0	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_280	FALSE	NA	NA	4	0	1	1	1	2	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_281	FALSE	NA	NA	3	1	1	1	1	3	1	1	2	1	0	2	0
NonVen_Cv1-hAT-Tip100_282	FALSE	NA	NA	3	1	1	2	0	2	1	2	1	1	1	2	0
NonVen_Cv1-hAT-Tip100_16	FALSE	NA	NA	7	1	1	2	2	4	1	2	2	1	1	3	1
NonVen_Cv1-hAT-Tip100_283	FALSE	NA	NA	5	1	1	2	2	2	1	2	2	1	2	3	1
NonVen_Cv1-hAT-Tip100_201	FALSE	NA	NA	5	1	1	1	1	3	0	1	2	0	1	1	1
NonVen_Cv1-hAT-Tip100_365	FALSE	NA	NA	4	1	1	2	0	3	1	1	2	1	2	2	1
NonVen_Cv1-hAT-Tip100_284	FALSE	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_285	FALSE	NA	NA	6	1	1	1	0	1	1	1	1	1	1	2	0
NonVen_Cv1-hAT-Tip100_286	FALSE	NA	NA	1	0	0	1	0	1	0	0	2	0	0	0	1
NonVen_Cv1-hAT-Tip100_348	FALSE	NA	NA	7	1	1	2	2	3	0	3	2	0	1	3	0
NonVen_Cv1-hAT-Tip100_287	FALSE	NA	NA	5	1	1	1	1	3	1	2	2	1	2	2	1
NonVen_Cv1-hAT-Tip100_54	FALSE	NA	NA	4	1	1	2	2	3	1	1	2	1	2	2	0
NonVen_Cv1-hAT-Tip100_366	FALSE	NA	NA	7	1	0	0	1	1	0	1	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_367	FALSE	NA	NA	4	1	1	1	1	1	0	1	0	0	0	1	0
NonVen_Cv1-hAT-Tip100_368	FALSE	NA	NA	7	1	1	2	2	4	1	3	2	1	2	3	0
NonVen_Cv1-hAT-Tip100_369	FALSE	NA	NA	5	1	1	1	1	3	0	0	2	0	1	1	1
NonVen_Cv1-hAT-Tip100_17	FALSE	NA	NA	6	1	1	1	1	3	1	3	2	1	2	3	0
NonVen_Cv1-hAT-Tip100_18	FALSE	NA	NA	4	1	1	0	1	2	0	2	0	0	0	2	0
NonVen_Cv1-hAT-Tip100_55	FALSE	NA	NA	3	1	1	1	1	2	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_370	FALSE	NA	NA	7	1	0	1	0	4	0	2	2	0	2	3	1
NonVen_Cv1-hAT-Tip100_56	FALSE	NA	NA	5	0	1	2	1	1	1	2	1	1	1	2	1
NonVen_Cv1-hAT-Tip100_371	FALSE	NA	NA	7	0	1	2	2	4	1	2	2	1	1	2	1
NonVen_Cv1-hAT-Tip100_349	FALSE	NA	NA	6	1	1	2	1	2	1	1	1	1	1	1	1
NonVen_Cv1-hAT-Tip100_350	FALSE	NA	NA	4	1	1	1	1	2	0	1	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_351	FALSE	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_352	FALSE	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_353	FALSE	NA	NA	5	1	0	0	0	1	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_372	FALSE	NA	NA	6	1	1	2	1	3	1	1	1	1	1	3	1
NonVen_Cv1-hAT-Tip100_311	FALSE	NA	NA	3	0	0	0	0	0	0	0	0	0	0	0	0
NonVen_Cv1-hAT-Tip100_373	FALSE	NA	NA	7	1	0	1	1	2	1	2	2	1	2	3	1
NonVen_Cv1-hAT-Tip100_374	FALSE	NA	NA	3	0	0	1	0	1	0	0	2	0	0	0	1
NonVen_Cv1-hAT-Tip100_57	TRUE	NA	NA	3	0	0	0	0	0	0	0	1	0	0	0	1
NonVen_Cv1-hAT-Tip100_354	FALSE	NA	NA	6	1	1	2	2	3	1	3	2	1	1	3	1
NonVen_Cv1-hAT-Tip100_202	FALSE	NA	NA	4	1	1	1	1	2	0	0	0	0	1	1	0
NonVen_Cv1-hAT-Tip100_312	FALSE	NA	NA	6	1	1	2	1	2	1	0	1	1	1	0	1
NonVen_Cv1-hAT-Tip100_19	FALSE	NA	NA	6	0	0	1	1	2	0	2	2	0	2	3	0
NonVen_Cv1-hAT-Tip100_20	FALSE	NA	NA	6	1	1	2	2	4	1	2	2	1	2	2	1
NonVen_Cv1-hAT-Tip100_21	FALSE	NA	NA	6	0	1	1	2	3	1	1	1	1	2	1	1
NonVen_Cv1-hAT-Tip100_132	FALSE	NA	NA	6	0	1	2	1	3	1	1	2	1	1	2	0
NonVen_Cv1-hAT-Tip100_355	FALSE	NA	NA	4	1	1	1	1	2	0	1	1	0	1	1	0
NonVen_Cv1-hAT-Tip100_203	FALSE	NA	NA	4	1	1	1	1	2	0	2	0	0	1	1	0
