Tip100	type	Arid3a_PRE	MEIS1_PRE	NFIX_PRE	Arid3a.1_PRE	SOX9_PRE	Arid3a.2_PRE	SOX10_PRE	NFATC1_PRE	ATF4_PRE	Arid3a.3_PRE	Ddit3Cebpa_PRE	Arid3a.4_PRE	SOX10.1_PRE	NFATC1.1_PRE	ZBTB26_PRE	NFATC1.2_PRE	Arid3a.5_PRE	Arid3a.6_PRE	JUN_PRE	TBX3_PRE	Dlx4_PRE	Dlx4.1_PRE	TBX3.1_PRE	Ddit3Cebpa.1_PRE	TFAP4_PRE	Ddit3Cebpa.2_PRE	Dlx4.2_PRE	ZBTB26.1_PRE	SOX9.1_PRE	NFATC1.3_PRE	TBX3_RE	MEIS1_RE	Creb3l2_RE	TBX3.1_RE	MEIS1.1_RE	TBX3.2_RE	POU6F1_RE	NFATC1_RE	Creb3l2.1_RE	Creb3l2.2_RE	PITX2_RE	MEIS1.2_RE	Dlx4_RE	NFATC1.1_RE	CREB3L1_RE	Irx2_RE	Irx2.1_RE	TBX3.3_RE	EHF_RE	ELF5_RE	MEIS1.3_RE
SVSP_Cv1-hAT-Tip100_11	nonCRE	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	2	1	1	0	1	1	1	1	0	1	1	1	2	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_12	CRE	2	2	2	2	2	2	0	2	2	1	0	1	2	2	1	1	1	1	2	1	2	1	2	2	0	0	2	0	0	0	2	1	2	2	1	1	0	2	1	1	0	0	0	0	0	2	2	0	0	0	0
SVSP_Cv1-hAT-Tip100_13	nonCRE	2	2	2	0	0	0	0	0	0	2	0	2	2	0	2	2	2	2	0	2	0	1	0	0	2	0	0	2	2	0	0	2	0	0	0	2	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_14	nonCRE	2	2	2	0	0	0	0	0	0	2	0	2	2	0	2	2	2	2	0	2	0	2	0	0	2	0	0	2	2	0	0	2	0	0	0	2	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_15	nonCRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_16	nonCRE	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_17	CRE	2	2	2	2	1	2	1	1	2	2	2	2	2	0	0	2	0	0	2	2	2	2	2	2	2	2	0	2	2	0	2	0	2	2	2	0	0	2	0	0	0	0	0	2	0	2	2	0	2	2	2
SVSP_Cv1-hAT-Tip100_18	nonCRE	2	2	2	2	2	2	2	0	2	2	2	0	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_19	nonCRE	2	2	2	2	2	2	2	0	2	0	2	1	2	2	2	1	0	0	2	2	2	1	2	2	1	2	2	1	1	2	0	0	0	2	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_20	nonCRE	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_21	CRE	2	2	2	0	0	0	0	0	0	2	0	2	2	0	2	2	2	2	0	2	0	2	0	0	2	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_22	CRE	2	2	2	2	2	0	0	0	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	0	0	2	2	0	2	0	0	0	0	2	2	0	0	0	2	2	0
SVSP_Cv1-hAT-Tip100_23	CRE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	0	2	2	2	0	0	2	0	0	0	2	0	0	0	2	2	2	0	0	0
SVSP_Cv1-hAT-Tip100_24	CRE	1	1	1	1	1	1	1	0	0	2	1	2	0	1	0	1	2	2	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	1	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_25	CRE	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	0	2	2	2	0	2	2	2	0	0	0	0	0	2	2	0	0	0	0
SVSP_Cv1-hAT-Tip100_26	nonCRE	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_27	nonCRE	2	2	0	0	0	2	0	0	0	2	0	2	2	0	0	2	2	2	0	2	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_28	CRE	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	0	0	0	2	2	0	2	2	2	0	2	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_29	nonCRE	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_30	nonCRE	1	1	1	1	2	1	2	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0
SVSP_Cv1-hAT-Tip100_31	nonCRE	0	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	0	2	2	2	2	0	2	0	0	0	0	2	0	2	0	0	0	2	2	2	0	0	0
SVSP_Cv1-hAT-Tip100_32	nonCRE	2	2	0	0	0	2	0	0	0	2	0	0	2	0	2	2	2	2	0	2	0	0	0	0	2	0	0	2	2	0	0	2	0	0	0	2	2	0	2	2	2	0	2	0	2	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_33	CRE	1	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1
SVSP_Cv1-hAT-Tip100_34	nonCRE	2	2	2	2	0	2	0	0	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	0	0	2	2	0	0	2	0	0	2	0	2	0	2	0	0	0	0	0	2	0	0	0
SVSP_Cv1-hAT-Tip100_35	nonCRE	0	2	2	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	2	2	1	0	0	2	1	0	2	1	1	0	1	0	2	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_36	nonCRE	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cv1-hAT-Tip100_37	CRE	2	2	2	2	0	2	0	2	2	2	2	2	0	0	2	2	2	2	0	2	2	2	2	0	2	2	0	2	2	2	2	0	2	0	2	2	0	0	2	0	0	0	0	2	0	0	0	0	2	2	0
SVSP_Cat1-hAT-Tip100_1	nonCRE	2	0	2	0	0	2	0	0	0	2	0	2	0	0	2	2	2	2	0	2	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	2	2	0	1	0	1	0	2	0	2	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_2	nonCRE	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_3	nonCRE	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_4	nonCRE	2	2	2	2	2	1	2	2	0	1	2	1	0	2	0	1	1	1	0	1	2	1	0	0	1	0	2	1	1	0	2	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_5	nonCRE	2	1	1	0	2	1	2	2	0	2	0	2	1	0	2	1	2	2	0	1	0	2	0	0	1	0	0	1	1	0	0	2	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_6	nonCRE	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_7	CRE	1	1	1	2	0	1	0	0	2	0	2	1	1	2	1	1	0	0	2	0	1	1	0	2	0	0	2	1	1	2	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SVSP_Cat1-hAT-Tip100_8	nonCRE	1	1	1	1	1	1	2	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SVSP_Cat1-hAT-Tip100_9	CRE	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_10	CRE	2	2	2	2	1	0	1	0	2	1	2	1	0	2	2	2	0	0	2	2	2	1	1	2	0	1	2	2	2	0	0	2	0	2	2	2	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0
SVSP_Cat1-hAT-Tip100_11	nonCRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_12	nonCRE	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_13	CRE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1
SVSP_Cat1-hAT-Tip100_14	nonCRE	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_15	nonCRE	2	2	1	2	2	1	2	0	0	1	2	1	0	2	0	1	1	1	0	1	0	0	2	0	1	2	2	1	1	2	2	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_16	nonCRE	0	0	0	2	2	0	2	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	2	2	0	0	0
SVSP_Cat1-hAT-Tip100_17	CRE	2	2	2	0	2	2	2	2	0	2	0	2	2	0	2	2	2	2	0	2	0	2	0	0	2	0	0	2	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_18	nonCRE	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	2	0	1	0	1	0	1	0	1	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_19	CRE	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	0	0	0	2	2	2	2	2	2	0	2	2	2	0	2	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_20	CRE	2	1	1	0	2	0	2	2	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_21	nonCRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_22	CRE	0	1	1	0	2	1	2	2	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_23	CRE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	2	0	2	2	2	2	1	2	0	2	2	0	2	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	2
SVSP_Cat1-hAT-Tip100_24	CRE	2	2	2	2	2	2	2	0	2	2	2	0	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	0	0	0	0	2	0	0	2	0	2	2	0	0	0	0	2	0	0	0
SVSP_Cat1-hAT-Tip100_25	CRE	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_26	CRE	1	1	1	2	0	1	0	2	2	1	2	1	0	0	1	1	1	1	0	1	1	1	2	0	1	2	0	1	1	2	2	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0
SVSP_Cat1-hAT-Tip100_27	nonCRE	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SVSP_Cat1-hAT-Tip100_28	nonCRE	0	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_29	CRE	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SVSP_Cat1-hAT-Tip100_30	nonCRE	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SVSP_Cat1-hAT-Tip100_31	nonCRE	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_32	CRE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SVSP_Cat1-hAT-Tip100_33	nonCRE	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SVSP_Cat1-hAT-Tip100_34	nonCRE	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_35	CRE	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	0	1	1	2	1	2	1	1	2	1	1	2	0	1	1	1	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1
SVSP_Cat1-hAT-Tip100_36	nonCRE	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_37	CRE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SVSP_Cat1-hAT-Tip100_38	nonCRE	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_39	nonCRE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SVSP_Cat1-hAT-Tip100_40	CRE	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_41	nonCRE	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SVSP_Cat1-hAT-Tip100_42	nonCRE	2	2	2	2	0	2	0	0	2	0	2	0	2	0	0	0	0	0	2	0	2	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0
SVSP_Cat1-hAT-Tip100_43	nonCRE	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_44	nonCRE	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
SVSP_Cat1-hAT-Tip100_45	nonCRE	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_46	nonCRE	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SVSP_Cat1-hAT-Tip100_47	CRE	2	2	2	2	0	2	2	0	2	0	2	0	2	0	0	0	0	0	2	0	2	0	0	2	0	0	2	0	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0
SVSP_Cat1-hAT-Tip100_48	nonCRE	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_49	nonCRE	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_50	nonCRE	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_51	nonCRE	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_52	CRE	2	2	2	2	2	0	2	2	0	1	0	1	0	2	0	2	1	1	0	2	0	1	0	2	2	0	0	2	2	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SVSP_Cat1-hAT-Tip100_53	nonCRE	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_54	nonCRE	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_55	nonCRE	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_56	nonCRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_57	nonCRE	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_58	nonCRE	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_59	nonCRE	2	2	2	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_60	nonCRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_61	CRE	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	1	1	1	2	1	2	1	2	2	1	2	0	1	1	2	2	1	2	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_62	nonCRE	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0
SVSP_Cat1-hAT-Tip100_63	nonCRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
