id	chrom	start	end	strand	species	short_name
NonVen_Cv1-hAT-Tip100_44	scaffold-Z	93697852	93698211	-	croVir3	NonVen_Cv1-hAT-Tip100_44
NonVen_Cv1-hAT-Tip100_45	scaffold-Z	94352313	94352685	+	croVir3	NonVen_Cv1-hAT-Tip100_45
NonVen_Cv1-hAT-Tip100_46	scaffold-Z	98277826	98278210	-	croVir3	NonVen_Cv1-hAT-Tip100_46
NonVen_Cv1-hAT-Tip100_47	scaffold-Z	108648032	108648380	+	croVir3	NonVen_Cv1-hAT-Tip100_47
NonVen_Cv1-hAT-Tip100_48	scaffold-ma1	3131222	3131470	+	croVir3	NonVen_Cv1-hAT-Tip100_48
NonVen_Cv1-hAT-Tip100_49	scaffold-ma1	4145651	4145840	-	croVir3	NonVen_Cv1-hAT-Tip100_49
NonVen_Cv1-hAT-Tip100_50	scaffold-ma1	14141383	14141790	-	croVir3	NonVen_Cv1-hAT-Tip100_50
NonVen_Cv1-hAT-Tip100_51	scaffold-ma1	14141971	14142380	-	croVir3	NonVen_Cv1-hAT-Tip100_51
NonVen_Cv1-hAT-Tip100_52	scaffold-ma1	33372576	33372987	-	croVir3	NonVen_Cv1-hAT-Tip100_52
NonVen_Cv1-hAT-Tip100_53	scaffold-ma1	38965219	38965613	-	croVir3	NonVen_Cv1-hAT-Tip100_53
NonVen_Cv1-hAT-Tip100_54	scaffold-ma1	48899143	48899545	+	croVir3	NonVen_Cv1-hAT-Tip100_54
NonVen_Cv1-hAT-Tip100_55	scaffold-ma1	51361350	51361771	+	croVir3	NonVen_Cv1-hAT-Tip100_55
NonVen_Cv1-hAT-Tip100_56	scaffold-ma1	51443196	51443555	-	croVir3	NonVen_Cv1-hAT-Tip100_56
NonVen_Cv1-hAT-Tip100_57	scaffold-ma1	54793527	54793694	+	croVir3	NonVen_Cv1-hAT-Tip100_57
NonVen_Cv1-hAT-Tip100_58	scaffold-ma1	66799450	66799872	-	croVir3	NonVen_Cv1-hAT-Tip100_58
NonVen_Cv1-hAT-Tip100_59	scaffold-ma1	68398025	68398411	+	croVir3	NonVen_Cv1-hAT-Tip100_59
NonVen_Cv1-hAT-Tip100_60	scaffold-ma1	79495980	79496376	+	croVir3	NonVen_Cv1-hAT-Tip100_60
NonVen_Cv1-hAT-Tip100_61	scaffold-ma1	83023365	83023774	+	croVir3	NonVen_Cv1-hAT-Tip100_61
NonVen_Cv1-hAT-Tip100_62	scaffold-ma1	83240168	83240565	+	croVir3	NonVen_Cv1-hAT-Tip100_62
NonVen_Cv1-hAT-Tip100_63	scaffold-ma1	84631834	84632231	-	croVir3	NonVen_Cv1-hAT-Tip100_63
NonVen_Cv1-hAT-Tip100_64	scaffold-ma1	98924898	98925236	+	croVir3	NonVen_Cv1-hAT-Tip100_64
NonVen_Cv1-hAT-Tip100_65	scaffold-ma1	98951996	98952341	-	croVir3	NonVen_Cv1-hAT-Tip100_65
NonVen_Cv1-hAT-Tip100_66	scaffold-ma1	98998280	98998620	+	croVir3	NonVen_Cv1-hAT-Tip100_66
NonVen_Cv1-hAT-Tip100_67	scaffold-ma1	109206277	109206682	+	croVir3	NonVen_Cv1-hAT-Tip100_67
NonVen_Cv1-hAT-Tip100_68	scaffold-ma1	125664478	125664703	+	croVir3	NonVen_Cv1-hAT-Tip100_68
NonVen_Cv1-hAT-Tip100_69	scaffold-ma1	126088610	126088800	-	croVir3	NonVen_Cv1-hAT-Tip100_69
NonVen_Cv1-hAT-Tip100_70	scaffold-ma1	126088904	126088966	-	croVir3	NonVen_Cv1-hAT-Tip100_70
NonVen_Cv1-hAT-Tip100_71	scaffold-ma1	126684387	126684795	+	croVir3	NonVen_Cv1-hAT-Tip100_71
NonVen_Cv1-hAT-Tip100_72	scaffold-ma1	130325485	130325886	+	croVir3	NonVen_Cv1-hAT-Tip100_72
NonVen_Cv1-hAT-Tip100_73	scaffold-ma1	136329833	136330202	-	croVir3	NonVen_Cv1-hAT-Tip100_73
NonVen_Cv1-hAT-Tip100_74	scaffold-ma1	158046837	158047234	+	croVir3	NonVen_Cv1-hAT-Tip100_74
NonVen_Cv1-hAT-Tip100_75	scaffold-ma1	158050101	158050326	+	croVir3	NonVen_Cv1-hAT-Tip100_75
NonVen_Cv1-hAT-Tip100_76	scaffold-ma1	158747530	158747803	+	croVir3	NonVen_Cv1-hAT-Tip100_76
NonVen_Cv1-hAT-Tip100_77	scaffold-ma1	161368268	161368659	-	croVir3	NonVen_Cv1-hAT-Tip100_77
NonVen_Cv1-hAT-Tip100_78	scaffold-ma1	163411026	163411423	-	croVir3	NonVen_Cv1-hAT-Tip100_78
NonVen_Cv1-hAT-Tip100_79	scaffold-ma1	163412131	163412523	-	croVir3	NonVen_Cv1-hAT-Tip100_79
NonVen_Cv1-hAT-Tip100_80	scaffold-ma1	163420439	163420613	-	croVir3	NonVen_Cv1-hAT-Tip100_80
NonVen_Cv1-hAT-Tip100_81	scaffold-ma1	164659486	164659887	-	croVir3	NonVen_Cv1-hAT-Tip100_81
NonVen_Cv1-hAT-Tip100_82	scaffold-ma1	166022615	166023008	-	croVir3	NonVen_Cv1-hAT-Tip100_82
NonVen_Cv1-hAT-Tip100_83	scaffold-ma1	167146831	167147203	-	croVir3	NonVen_Cv1-hAT-Tip100_83
NonVen_Cv1-hAT-Tip100_84	scaffold-ma1	167147712	167148084	-	croVir3	NonVen_Cv1-hAT-Tip100_84
NonVen_Cv1-hAT-Tip100_85	scaffold-ma1	169375494	169375903	+	croVir3	NonVen_Cv1-hAT-Tip100_85
NonVen_Cv1-hAT-Tip100_86	scaffold-ma1	170236597	170236956	+	croVir3	NonVen_Cv1-hAT-Tip100_86
NonVen_Cv1-hAT-Tip100_87	scaffold-ma1	181213665	181214082	+	croVir3	NonVen_Cv1-hAT-Tip100_87
NonVen_Cv1-hAT-Tip100_88	scaffold-ma1	183164212	183164634	-	croVir3	NonVen_Cv1-hAT-Tip100_88
NonVen_Cv1-hAT-Tip100_89	scaffold-ma1	194891710	194892110	+	croVir3	NonVen_Cv1-hAT-Tip100_89
NonVen_Cv1-hAT-Tip100_90	scaffold-ma1	200305797	200306184	+	croVir3	NonVen_Cv1-hAT-Tip100_90
NonVen_Cv1-hAT-Tip100_91	scaffold-ma1	203544432	203544844	-	croVir3	NonVen_Cv1-hAT-Tip100_91
NonVen_Cv1-hAT-Tip100_92	scaffold-ma1	204086807	204087202	-	croVir3	NonVen_Cv1-hAT-Tip100_92
NonVen_Cv1-hAT-Tip100_93	scaffold-ma1	204206265	204206679	+	croVir3	NonVen_Cv1-hAT-Tip100_93
NonVen_Cv1-hAT-Tip100_94	scaffold-ma1	204935783	204936195	+	croVir3	NonVen_Cv1-hAT-Tip100_94
NonVen_Cv1-hAT-Tip100_95	scaffold-ma1	205841189	205841604	+	croVir3	NonVen_Cv1-hAT-Tip100_95
NonVen_Cv1-hAT-Tip100_96	scaffold-ma1	211931959	211932328	-	croVir3	NonVen_Cv1-hAT-Tip100_96
NonVen_Cv1-hAT-Tip100_97	scaffold-ma1	218206633	218206838	-	croVir3	NonVen_Cv1-hAT-Tip100_97
NonVen_Cv1-hAT-Tip100_98	scaffold-ma1	222390232	222390616	+	croVir3	NonVen_Cv1-hAT-Tip100_98
NonVen_Cv1-hAT-Tip100_99	scaffold-ma1	228362657	228363021	-	croVir3	NonVen_Cv1-hAT-Tip100_99
NonVen_Cv1-hAT-Tip100_100	scaffold-ma1	229445371	229445768	-	croVir3	NonVen_Cv1-hAT-Tip100_100
NonVen_Cv1-hAT-Tip100_101	scaffold-ma1	237143735	237144144	-	croVir3	NonVen_Cv1-hAT-Tip100_101
NonVen_Cv1-hAT-Tip100_102	scaffold-ma1	249005596	249006018	-	croVir3	NonVen_Cv1-hAT-Tip100_102
NonVen_Cv1-hAT-Tip100_103	scaffold-ma1	251287105	251287491	-	croVir3	NonVen_Cv1-hAT-Tip100_103
NonVen_Cv1-hAT-Tip100_104	scaffold-ma1	253319186	253319550	-	croVir3	NonVen_Cv1-hAT-Tip100_104
NonVen_Cv1-hAT-Tip100_105	scaffold-ma1	281374959	281375337	-	croVir3	NonVen_Cv1-hAT-Tip100_105
NonVen_Cv1-hAT-Tip100_106	scaffold-ma1	283972806	283973134	+	croVir3	NonVen_Cv1-hAT-Tip100_106
NonVen_Cv1-hAT-Tip100_107	scaffold-ma1	305070916	305071312	-	croVir3	NonVen_Cv1-hAT-Tip100_107
NonVen_Cv1-hAT-Tip100_108	scaffold-ma1	307037521	307037941	+	croVir3	NonVen_Cv1-hAT-Tip100_108
NonVen_Cv1-hAT-Tip100_109	scaffold-ma2	3376960	3377382	-	croVir3	NonVen_Cv1-hAT-Tip100_109
NonVen_Cv1-hAT-Tip100_110	scaffold-ma2	4485051	4485418	+	croVir3	NonVen_Cv1-hAT-Tip100_110
NonVen_Cv1-hAT-Tip100_111	scaffold-ma2	7857491	7857888	-	croVir3	NonVen_Cv1-hAT-Tip100_111
NonVen_Cv1-hAT-Tip100_112	scaffold-ma2	7969020	7969137	+	croVir3	NonVen_Cv1-hAT-Tip100_112
NonVen_Cv1-hAT-Tip100_113	scaffold-ma2	7969398	7969606	+	croVir3	NonVen_Cv1-hAT-Tip100_113
NonVen_Cv1-hAT-Tip100_114	scaffold-ma2	7991366	7991553	-	croVir3	NonVen_Cv1-hAT-Tip100_114
NonVen_Cv1-hAT-Tip100_115	scaffold-ma2	8015627	8015915	+	croVir3	NonVen_Cv1-hAT-Tip100_115
NonVen_Cv1-hAT-Tip100_116	scaffold-ma2	8324545	8324740	+	croVir3	NonVen_Cv1-hAT-Tip100_116
NonVen_Cv1-hAT-Tip100_117	scaffold-ma2	8326056	8326452	+	croVir3	NonVen_Cv1-hAT-Tip100_117
NonVen_Cv1-hAT-Tip100_118	scaffold-ma2	15545438	15545835	+	croVir3	NonVen_Cv1-hAT-Tip100_118
NonVen_Cv1-hAT-Tip100_119	scaffold-ma2	19021576	19021623	-	croVir3	NonVen_Cv1-hAT-Tip100_119
NonVen_Cv1-hAT-Tip100_120	scaffold-ma2	19021794	19022096	-	croVir3	NonVen_Cv1-hAT-Tip100_120
NonVen_Cv1-hAT-Tip100_121	scaffold-ma2	19567451	19567707	+	croVir3	NonVen_Cv1-hAT-Tip100_121
NonVen_Cv1-hAT-Tip100_122	scaffold-ma2	19567831	19568000	+	croVir3	NonVen_Cv1-hAT-Tip100_122
NonVen_Cv1-hAT-Tip100_123	scaffold-ma2	22654280	22654674	-	croVir3	NonVen_Cv1-hAT-Tip100_123
NonVen_Cv1-hAT-Tip100_124	scaffold-ma2	24688177	24688598	-	croVir3	NonVen_Cv1-hAT-Tip100_124
NonVen_Cv1-hAT-Tip100_125	scaffold-ma2	28191815	28192089	-	croVir3	NonVen_Cv1-hAT-Tip100_125
NonVen_Cv1-hAT-Tip100_126	scaffold-ma2	28194354	28194762	-	croVir3	NonVen_Cv1-hAT-Tip100_126
NonVen_Cv1-hAT-Tip100_127	scaffold-ma2	30083700	30083883	+	croVir3	NonVen_Cv1-hAT-Tip100_127
NonVen_Cv1-hAT-Tip100_128	scaffold-ma2	30085295	30085367	+	croVir3	NonVen_Cv1-hAT-Tip100_128
NonVen_Cv1-hAT-Tip100_129	scaffold-ma2	36117445	36117785	-	croVir3	NonVen_Cv1-hAT-Tip100_129
NonVen_Cv1-hAT-Tip100_130	scaffold-ma2	39220921	39221344	-	croVir3	NonVen_Cv1-hAT-Tip100_130
NonVen_Cv1-hAT-Tip100_131	scaffold-ma2	43182793	43183053	-	croVir3	NonVen_Cv1-hAT-Tip100_131
NonVen_Cv1-hAT-Tip100_132	scaffold-ma2	58345398	58345786	-	croVir3	NonVen_Cv1-hAT-Tip100_132
NonVen_Cv1-hAT-Tip100_133	scaffold-ma2	63430266	63430613	+	croVir3	NonVen_Cv1-hAT-Tip100_133
NonVen_Cv1-hAT-Tip100_134	scaffold-ma2	75769826	75770180	+	croVir3	NonVen_Cv1-hAT-Tip100_134
NonVen_Cv1-hAT-Tip100_135	scaffold-ma2	79863080	79863475	-	croVir3	NonVen_Cv1-hAT-Tip100_135
NonVen_Cv1-hAT-Tip100_136	scaffold-ma2	82045687	82046088	-	croVir3	NonVen_Cv1-hAT-Tip100_136
NonVen_Cv1-hAT-Tip100_137	scaffold-ma2	88209571	88209969	-	croVir3	NonVen_Cv1-hAT-Tip100_137
NonVen_Cv1-hAT-Tip100_138	scaffold-ma2	103665007	103665392	-	croVir3	NonVen_Cv1-hAT-Tip100_138
NonVen_Cv1-hAT-Tip100_139	scaffold-ma2	109598921	109599150	+	croVir3	NonVen_Cv1-hAT-Tip100_139
NonVen_Cv1-hAT-Tip100_140	scaffold-ma2	112301871	112302244	+	croVir3	NonVen_Cv1-hAT-Tip100_140
NonVen_Cv1-hAT-Tip100_141	scaffold-ma2	112303031	112303102	+	croVir3	NonVen_Cv1-hAT-Tip100_141
NonVen_Cv1-hAT-Tip100_142	scaffold-ma2	114573367	114573767	+	croVir3	NonVen_Cv1-hAT-Tip100_142
NonVen_Cv1-hAT-Tip100_143	scaffold-ma2	124140887	124141296	-	croVir3	NonVen_Cv1-hAT-Tip100_143
NonVen_Cv1-hAT-Tip100_144	scaffold-ma2	124143286	124143453	-	croVir3	NonVen_Cv1-hAT-Tip100_144
NonVen_Cv1-hAT-Tip100_145	scaffold-ma2	126777816	126778177	+	croVir3	NonVen_Cv1-hAT-Tip100_145
NonVen_Cv1-hAT-Tip100_146	scaffold-ma2	126818037	126818426	+	croVir3	NonVen_Cv1-hAT-Tip100_146
NonVen_Cv1-hAT-Tip100_147	scaffold-ma2	133945161	133945555	+	croVir3	NonVen_Cv1-hAT-Tip100_147
NonVen_Cv1-hAT-Tip100_148	scaffold-ma2	138218717	138219002	-	croVir3	NonVen_Cv1-hAT-Tip100_148
NonVen_Cv1-hAT-Tip100_149	scaffold-ma2	138437836	138438246	-	croVir3	NonVen_Cv1-hAT-Tip100_149
NonVen_Cv1-hAT-Tip100_150	scaffold-ma2	139928748	139929145	-	croVir3	NonVen_Cv1-hAT-Tip100_150
NonVen_Cv1-hAT-Tip100_151	scaffold-ma2	140774844	140774978	+	croVir3	NonVen_Cv1-hAT-Tip100_151
NonVen_Cv1-hAT-Tip100_152	scaffold-ma2	140975319	140975674	+	croVir3	NonVen_Cv1-hAT-Tip100_152
NonVen_Cv1-hAT-Tip100_153	scaffold-ma2	140975816	140975861	+	croVir3	NonVen_Cv1-hAT-Tip100_153
NonVen_Cv1-hAT-Tip100_154	scaffold-ma2	142706519	142706904	+	croVir3	NonVen_Cv1-hAT-Tip100_154
NonVen_Cv1-hAT-Tip100_155	scaffold-ma2	144364930	144365112	-	croVir3	NonVen_Cv1-hAT-Tip100_155
NonVen_Cv1-hAT-Tip100_156	scaffold-ma2	149595213	149595598	-	croVir3	NonVen_Cv1-hAT-Tip100_156
NonVen_Cv1-hAT-Tip100_157	scaffold-ma2	152710097	152710494	+	croVir3	NonVen_Cv1-hAT-Tip100_157
NonVen_Cv1-hAT-Tip100_158	scaffold-ma2	154472701	154473097	-	croVir3	NonVen_Cv1-hAT-Tip100_158
NonVen_Cv1-hAT-Tip100_159	scaffold-ma2	156369745	156370145	+	croVir3	NonVen_Cv1-hAT-Tip100_159
NonVen_Cv1-hAT-Tip100_160	scaffold-ma2	157364250	157364499	-	croVir3	NonVen_Cv1-hAT-Tip100_160
NonVen_Cv1-hAT-Tip100_161	scaffold-ma2	159541976	159542385	-	croVir3	NonVen_Cv1-hAT-Tip100_161
NonVen_Cv1-hAT-Tip100_162	scaffold-ma2	162298398	162298456	-	croVir3	NonVen_Cv1-hAT-Tip100_162
NonVen_Cv1-hAT-Tip100_163	scaffold-ma2	162298661	162298722	-	croVir3	NonVen_Cv1-hAT-Tip100_163
NonVen_Cv1-hAT-Tip100_164	scaffold-ma2	162467840	162468237	-	croVir3	NonVen_Cv1-hAT-Tip100_164
NonVen_Cv1-hAT-Tip100_165	scaffold-ma2	163037076	163037488	+	croVir3	NonVen_Cv1-hAT-Tip100_165
NonVen_Cv1-hAT-Tip100_166	scaffold-ma2	163391109	163391524	+	croVir3	NonVen_Cv1-hAT-Tip100_166
NonVen_Cv1-hAT-Tip100_167	scaffold-ma2	165643196	165643595	-	croVir3	NonVen_Cv1-hAT-Tip100_167
NonVen_Cv1-hAT-Tip100_168	scaffold-ma2	170299956	170300354	-	croVir3	NonVen_Cv1-hAT-Tip100_168
NonVen_Cv1-hAT-Tip100_169	scaffold-ma2	170300802	170301200	-	croVir3	NonVen_Cv1-hAT-Tip100_169
NonVen_Cv1-hAT-Tip100_170	scaffold-ma2	179463278	179463674	+	croVir3	NonVen_Cv1-hAT-Tip100_170
NonVen_Cv1-hAT-Tip100_171	scaffold-ma2	179476557	179476953	+	croVir3	NonVen_Cv1-hAT-Tip100_171
NonVen_Cv1-hAT-Tip100_172	scaffold-ma2	180814154	180814537	-	croVir3	NonVen_Cv1-hAT-Tip100_172
NonVen_Cv1-hAT-Tip100_173	scaffold-ma2	181147085	181147456	+	croVir3	NonVen_Cv1-hAT-Tip100_173
NonVen_Cv1-hAT-Tip100_174	scaffold-ma2	182189178	182189563	+	croVir3	NonVen_Cv1-hAT-Tip100_174
NonVen_Cv1-hAT-Tip100_175	scaffold-ma2	190773309	190773719	+	croVir3	NonVen_Cv1-hAT-Tip100_175
NonVen_Cv1-hAT-Tip100_176	scaffold-ma2	192262951	192263337	-	croVir3	NonVen_Cv1-hAT-Tip100_176
NonVen_Cv1-hAT-Tip100_177	scaffold-ma2	192755654	192756078	+	croVir3	NonVen_Cv1-hAT-Tip100_177
NonVen_Cv1-hAT-Tip100_178	scaffold-ma2	193580060	193580437	-	croVir3	NonVen_Cv1-hAT-Tip100_178
NonVen_Cv1-hAT-Tip100_179	scaffold-ma2	195612921	195613301	+	croVir3	NonVen_Cv1-hAT-Tip100_179
NonVen_Cv1-hAT-Tip100_180	scaffold-ma2	207445043	207445391	+	croVir3	NonVen_Cv1-hAT-Tip100_180
NonVen_Cv1-hAT-Tip100_181	scaffold-ma2	207841378	207841757	-	croVir3	NonVen_Cv1-hAT-Tip100_181
NonVen_Cv1-hAT-Tip100_182	scaffold-ma2	207846849	207847086	-	croVir3	NonVen_Cv1-hAT-Tip100_182
NonVen_Cv1-hAT-Tip100_183	scaffold-ma2	217226355	217226734	-	croVir3	NonVen_Cv1-hAT-Tip100_183
NonVen_Cv1-hAT-Tip100_184	scaffold-ma2	219936021	219936426	-	croVir3	NonVen_Cv1-hAT-Tip100_184
NonVen_Cv1-hAT-Tip100_185	scaffold-ma2	219957079	219957457	-	croVir3	NonVen_Cv1-hAT-Tip100_185
NonVen_Cv1-hAT-Tip100_186	scaffold-ma2	221904002	221904169	-	croVir3	NonVen_Cv1-hAT-Tip100_186
NonVen_Cv1-hAT-Tip100_187	scaffold-ma2	221904591	221904950	-	croVir3	NonVen_Cv1-hAT-Tip100_187
NonVen_Cv1-hAT-Tip100_188	scaffold-ma2	228325747	228326170	+	croVir3	NonVen_Cv1-hAT-Tip100_188
NonVen_Cv1-hAT-Tip100_189	scaffold-ma2	229005602	229005998	+	croVir3	NonVen_Cv1-hAT-Tip100_189
NonVen_Cv1-hAT-Tip100_190	scaffold-ma2	229006874	229007141	+	croVir3	NonVen_Cv1-hAT-Tip100_190
NonVen_Cv1-hAT-Tip100_191	scaffold-ma2	230441303	230441555	+	croVir3	NonVen_Cv1-hAT-Tip100_191
NonVen_Cv1-hAT-Tip100_192	scaffold-ma3	5771758	5771863	-	croVir3	NonVen_Cv1-hAT-Tip100_192
NonVen_Cv1-hAT-Tip100_193	scaffold-ma3	7708789	7709119	-	croVir3	NonVen_Cv1-hAT-Tip100_193
NonVen_Cv1-hAT-Tip100_194	scaffold-ma3	13497022	13497358	-	croVir3	NonVen_Cv1-hAT-Tip100_194
NonVen_Cv1-hAT-Tip100_195	scaffold-ma3	22704932	22705328	-	croVir3	NonVen_Cv1-hAT-Tip100_195
NonVen_Cv1-hAT-Tip100_196	scaffold-ma3	30128139	30128508	+	croVir3	NonVen_Cv1-hAT-Tip100_196
NonVen_Cv1-hAT-Tip100_197	scaffold-ma3	39535682	39536036	+	croVir3	NonVen_Cv1-hAT-Tip100_197
NonVen_Cv1-hAT-Tip100_198	scaffold-ma3	39882614	39883010	+	croVir3	NonVen_Cv1-hAT-Tip100_198
NonVen_Cv1-hAT-Tip100_199	scaffold-ma3	41817055	41817457	+	croVir3	NonVen_Cv1-hAT-Tip100_199
NonVen_Cv1-hAT-Tip100_200	scaffold-ma3	45332932	45333301	+	croVir3	NonVen_Cv1-hAT-Tip100_200
NonVen_Cv1-hAT-Tip100_201	scaffold-ma3	47570009	47570398	-	croVir3	NonVen_Cv1-hAT-Tip100_201
NonVen_Cv1-hAT-Tip100_202	scaffold-ma3	55466794	55467197	+	croVir3	NonVen_Cv1-hAT-Tip100_202
NonVen_Cv1-hAT-Tip100_203	scaffold-ma3	59221646	59221989	-	croVir3	NonVen_Cv1-hAT-Tip100_203
NonVen_Cv1-hAT-Tip100_204	scaffold-ma3	72733133	72733529	+	croVir3	NonVen_Cv1-hAT-Tip100_204
NonVen_Cv1-hAT-Tip100_205	scaffold-ma3	75952271	75952471	+	croVir3	NonVen_Cv1-hAT-Tip100_205
NonVen_Cv1-hAT-Tip100_206	scaffold-ma3	80177765	80178122	-	croVir3	NonVen_Cv1-hAT-Tip100_206
NonVen_Cv1-hAT-Tip100_207	scaffold-ma3	80282464	80282875	+	croVir3	NonVen_Cv1-hAT-Tip100_207
NonVen_Cv1-hAT-Tip100_208	scaffold-ma3	80657871	80658265	+	croVir3	NonVen_Cv1-hAT-Tip100_208
NonVen_Cv1-hAT-Tip100_209	scaffold-ma3	81235400	81235799	-	croVir3	NonVen_Cv1-hAT-Tip100_209
NonVen_Cv1-hAT-Tip100_210	scaffold-ma3	82827020	82827439	-	croVir3	NonVen_Cv1-hAT-Tip100_210
NonVen_Cv1-hAT-Tip100_211	scaffold-ma3	86268653	86269025	+	croVir3	NonVen_Cv1-hAT-Tip100_211
NonVen_Cv1-hAT-Tip100_212	scaffold-ma3	86270277	86270381	-	croVir3	NonVen_Cv1-hAT-Tip100_212
